hiring_manager: gnidan; similarity_score: 2.81814
hiring_manager: bitcrusher; similarity_score: 2.81690
hiring_manager: alexthornton; similarity_score: 2.81456
hiring_manager: paulc; similarity_score: 2.80254
hiring_manager: jennifer_scroll; similarity_score: 2.77008
hiring_manager: boyd; similarity_score: 2.76497
hiring_manager: spang; similarity_score: 2.76162
hiring_manager: meritt; similarity_score: 2.71220
hiring_manager: mbesto; similarity_score: 2.71154
hiring_manager: conorgil145; similarity_score: 2.66765
hiring_manager: pensieri; similarity_score: 2.60843
hiring_manager: jjarmoc; similarity_score: 2.60137
hiring_manager: cwhiten; similarity_score: 2.58548
hiring_manager: ejdyksen; similarity_score: 2.55881
hiring_manager: greattypo; similarity_score: 2.49695
hiring_manager: tair; similarity_score: 2.49520
hiring_manager: capkutay; similarity_score: 2.14559
hiring_manager: helloshow; similarity_score: 2.12649
hiring_manager: cairo140; similarity_score: 2.11786
hiring_manager: chrchr; similarity_score: 2.09601
hiring_manager: ddtruong17; similarity_score: 1.99304
hiring_manager: BWStearns; similarity_score: 1.77756
hiring_manager: makmanalp; similarity_score: 1.77738
hiring_manager: atto; similarity_score: 1.62259
hiring_manager: brendankemp; similarity_score: 1.46168
hiring_manager: jnenglish; similarity_score: 1.15030
hiring_manager: frabrunelle; similarity_score: 1.10741
hiring_manager: namelezz; similarity_score: 0.0
